Date;Heure;Valeur
24/03/2021;16:28:54;22.2
24/03/2021;16:34:43;22.7
24/03/2021;16:50:52;21.6
24/03/2021;17:07:02;20.2
24/03/2021;17:19:49;19
24/03/2021;17:36:03;16.4
24/03/2021;17:39:08;15.8
24/03/2021;17:55:26;13.8
24/03/2021;18:05:04;12.8
24/03/2021;18:21:26;11.1
24/03/2021;18:34:23;9.7
24/03/2021;18:37:19;9.7
24/03/2021;19:07:19;7.1
24/03/2021;19:13:44;6.8
24/03/2021;19:30:14;5.8
24/03/2021;19:46:46;4.8
24/03/2021;20:03:08;4
24/03/2021;20:19:42;3.2
24/03/2021;20:36:18;2.5
24/03/2021;20:52:55;1.9
24/03/2021;21:09:32;1.4
24/03/2021;21:16:00;1.2
24/03/2021;21:32:38;1.4
24/03/2021;21:49:16;1.1
24/03/2021;22:05:55;0.7
24/03/2021;22:22:34;0.2
24/03/2021;22:39:14;-0.2
24/03/2021;22:55:54;-0.5
24/03/2021;23:12:35;-0.6
24/03/2021;23:29:16;-0.7
24/03/2021;23:45:57;-1.1
25/03/2021;00:02:39;-1.3
25/03/2021;00:15:49;-1.6
25/03/2021;00:32:32;-1.7
25/03/2021;00:49:15;-1.8
25/03/2021;01:05:57;-1.9
25/03/2021;01:22:40;-2.1
25/03/2021;01:39:24;-2.3
25/03/2021;01:59:35;-2.3
25/03/2021;02:29:35;-2.6
25/03/2021;02:46:19;-2.5
25/03/2021;03:03:03;-2.7
25/03/2021;03:19:47;-2.8
25/03/2021;03:36:31;-2.9
25/03/2021;03:40:00;-2.9
25/03/2021;04:10:00;-3
25/03/2021;04:26:45;-3.1
25/03/2021;04:43:29;-3.2
25/03/2021;04:46:58;-3.2
25/03/2021;05:16:58;-2.9
25/03/2021;05:33:43;-3.1
25/03/2021;05:37:13;-3.1
25/03/2021;06:07:13;-3.2
25/03/2021;06:23:58;-3.1
25/03/2021;06:27:27;-3.1
25/03/2021;06:57:27;-2.8
25/03/2021;07:14:11;-1.4
25/03/2021;07:30:51;1
25/03/2021;07:34:00;1.3
25/03/2021;07:50:36;3.5
25/03/2021;07:57:03;4.4
25/03/2021;08:13:36;6.6
25/03/2021;08:16:43;7.4
25/03/2021;08:33:10;9.1
25/03/2021;08:46:09;10.3
25/03/2021;08:55:59;13.6
25/03/2021;09:12:18;15.4
25/03/2021;09:18:38;16.5
25/03/2021;09:34:56;15.7
25/03/2021;09:51:12;18.1
25/03/2021;10:00:46;19.6
25/03/2021;10:16:59;19.4
25/03/2021;10:33:12;20.6
25/03/2021;10:42:44;23.7
25/03/2021;10:58:50;26.4
25/03/2021;11:14:55;25.8
25/03/2021;11:31:01;25.7
25/03/2021;11:47:09;22.9
25/03/2021;11:56:40;20.3
25/03/2021;12:12:52;23
25/03/2021;12:15:55;23.6
25/03/2021;12:32:01;27.2
25/03/2021;12:51:06;28.8
25/03/2021;13:07:09;29.1
25/03/2021;13:23:13;24.7
25/03/2021;13:39:19;25.2
25/03/2021;13:48:48;24.1
25/03/2021;14:04:56;24.7
25/03/2021;14:20:50;28
25/03/2021;14:36:53;27.5
25/03/2021;14:46:21;24.9
25/03/2021;15:02:27;26.3
25/03/2021;15:18:35;22.8
25/03/2021;15:34:43;23.1
25/03/2021;15:50:50;24.8
25/03/2021;16:06:59;22.1
25/03/2021;16:10:02;21.3
25/03/2021;16:26:15;19.8
